"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Kennen","Top",21,"6.5%","5.6%","12.0%","33%","86%",57,75,75,1.8,"55.5%","23.8%","-","-","-","-",8.2,"-",626,"29.5%","23.2%",0.33,0.17
"Kha'Zix","Jungle",46,"14.2%","8.6%","22.8%","48%","72%",169,110,202,3.4,"67.6%","18.9%","-","-","-","-",7,"-",431,"19.7%","23.0%",1.12,0.8
"Kindred","Jungle",12,"3.7%","7.1%","10.8%","42%","75%",49,32,62,3.5,"72.1%","18.9%","-","-","-","-",7,"-",456,"21.7%","22.3%",0.28,0.5
"Kog'Maw","ADC",3,"0.9%","0.0%","0.9%","0%","67%",4,9,14,2,"66.7%","18.8%","-","-","-","-",9.2,"-",762,"34.5%","26.4%",0.38,0.44
"LeBlanc","Middle",44,"13.6%","41.4%","54.9%","45%","34%",140,72,183,4.5,"60.0%","12.1%","-","-","-","-",9.8,"-",663,"30.7%","26.2%",0.35,0.32
"Lee Sin","Jungle",13,"4.0%","10.8%","14.8%","31%","100%",40,42,72,2.7,"81.8%","23.3%","-","-","-","-",5.6,"-",315,"15.7%","19.5%",0.52,0.28
"Leona","Support",21,"6.5%","1.5%","8.0%","62%","71%",16,65,191,3.2,"67.6%","25.7%","-","-","-","-",1.2,"-",116,"5.3%","9.2%",1.65,0.42
"Lillia","Jungle",2,"0.6%","0.0%","0.6%","100%","100%",8,3,21,9.7,"82.9%","10.7%","-","-","-","-",7.1,"-",891,"30.7%","22.6%",0.27,0.3
"Lissandra","Middle",8,"2.5%","0.9%","3.4%","50%","100%",16,25,51,2.7,"67.7%","25.8%","-","-","-","-",7.4,"-",382,"18.9%","19.0%",0.36,0.28
"Lucian","ADC",21,"6.5%","23.5%","29.9%","48%","48%",77,45,75,3.4,"70.7%","19.6%","-","-","-","-",9.7,"-",736,"32.4%","28.6%",0.45,0.39
"Lulu","Support",58,"17.9%","16.0%","34.0%","45%","76%",31,108,454,4.5,"80.0%","16.3%","-","-","-","-",0.5,"-",122,"6.3%","9.2%",1.55,0.3
"Malphite","Top",22,"6.8%","3.7%","10.5%","36%","95%",29,58,102,2.3,"50.0%","17.8%","-","-","-","-",7.7,"-",423,"21.5%","20.1%",0.37,0.16
"Maokai","Jungle",83,"25.6%","25.3%","50.9%","61%","35%",160,217,672,3.8,"73.0%","21.0%","-","-","-","-",5.1,"-",430,"18.4%","17.1%",0.33,0.33
"Milio","Support",48,"14.8%","60.8%","75.6%","58%","10%",15,82,460,5.8,"80.5%","15.4%","-","-","-","-",1,"-",63,"3.1%","9.3%",1.57,0.3
"Mordekaiser","Top",2,"0.6%","0.3%","0.9%","50%","100%",4,5,5,1.8,"42.9%","20.8%","-","-","-","-",7.5,"-",475,"29.2%","20.7%",0.37,0.03
"Nami","Support",20,"6.2%","0.0%","6.2%","45%","55%",9,43,151,3.7,"79.2%","19.1%","-","-","-","-",0.4,"-",171,"7.7%","8.9%",1.49,0.29
