year,title,genre,format,CSM target_age,imdb_rating,slope_(1/f),aspect_ratio,dur_(min),shots,ASL,Luminance,Motion,clutter,saturation,char/shot,ave_scale,narr_shifts,%intertitles,lum_w/_titles,mo_w/_titles,clut_w/_titles
1990,Ghost,comedy,live,13,6.9,0.39,1.85,120,1408,5.1,102,0.88,0.06,0.39,,,,,,,
1990,Goodfellas,drama,live,18,8.8,0.55,1.85,138,1213,6.8,99,0.88,0.06,0.43,1.94,3.83,175,,,,
1990,Home Alone,comedy,live,10,6.8,0.41,1.37,97,1136,4.4,107,0.91,0.07,0.41,1.19,3.56,116,,,,
1990,Hunt for Red October,action,live,13,7.5,1.09,2.2,131,1139,6.9,87,0.90,0.05,0.51,,,,,,,
1990,Pretty Woman,comedy,live,15,6.5,0.92,1.85,119,1188,6.0,110,0.91,0.07,0.48,,,,,,,
1990,Teenage Mutant Ninja Turtles,action,live,8,6.3,0.78,1.37,87,1160,4.5,79,0.84,0.06,0.52,,,,,,,
1990,Total Recall,action,live,17,7.4,0.69,1.37,107,1758,3.6,110,0.82,0.06,0.36,,,,,,,
1995,ace ventura: when nature calls,comedy,live,16,5.4,0.52,2.35,87,1119,4.6,121,0.85,0.07,0.55,1.60,,,,,,
1995,apollo 13,adventure,live,12,7.5,0.32,1.66,133,1637,4.9,110,0.89,0.06,0.40,,,,,,,
1995,batman forever,action,live,13,5.4,0.66,1.85,122,1892,3.7,91,0.80,0.05,0.62,,,,,,,
1995,casper,comedy,live,8,5.6,0.72,1.85,93,860,6.6,105,0.84,0.07,0.39,,,,,,,
1995,Goldeneye,action,live,13,7.1,0.82,2.35,125,2115,3.6,103,0.83,0.06,0.43,1.22,,,,,,
1995,jumanji,adventure,live,10,6.3,0.50,1.85,97,1662,3.5,103,0.85,0.06,0.38,,,,,,,
1995,Pocahontas,animation,animation,6,5.8,0.40,1.66,78,1293,3.6,110,0.84,0.06,0.74,,,,,,,
1995,Sense and Sensibility,drama,live,11,7.7,0.22,1.85,132,1214,6.5,113,0.94,0.07,0.39,,,,,,,
1995,The usual suspects,drama,live,17,8.7,0.42,2.35,104,1098,5.7,111,0.88,0.06,0.34,1.57,,,,,,
1995,Toy Story,animation,animation,5,8.1,0.49,1.85,76,1560,2.9,129,0.85,0.07,0.45,,,,,,,
2000,Cast Away,adventure,live,13,7.4,0.56,1.85,135,878,9.2,110,0.84,0.06,0.33,,,,,,,
2000,Charlie's Angels,action,live,13,5.5,1.08,2.35,90,1749,3.1,127,0.80,0.06,0.50,,,,,,,
2000,Dinosaur,animation,animation,6,6.2,0.37,1.85,82,1237,3.6,117,0.84,0.07,0.46,,,,,,,
2000,Erin Brockovich,drama,live,15,7.2,0.39,1.85,125,1353,5.6,129,0.93,0.07,0.59,1.60,3.77,111,,,,
2000,How the Grinch stole christmas,comedy,live,8,5.6,0.36,1.85,95,1447,4.0,117,0.86,0.07,0.37,,,,,,,
2000,Mission: Impossible II,action,live,13,5.7,0.81,2.35,118,2761,2.6,111,0.79,0.06,0.35,1.07,4.55,190,,,,
2000,Pefect Storm,adventure,live,14,6.2,0.90,2.35,123,1468,5.0,110,0.80,0.06,0.36,,,,,,,
2000,Scary Movie,comedy,live,16,5.9,0.29,2.35,79,1283,3.7,120,0.85,0.07,0.38,,,,,,,
2000,What Women Want,comedy,live,15,6.3,0.68,1.85,121,1849,3.9,104,0.89,0.07,0.47,1.62,4.38,111,,,,
2000,X-Men,action,live,11,7.4,0.50,2.35,98,2109,2.8,98,0.84,0.05,0.42,,,,,,,
2005,Chicken Little,animation,animation,7,5.8,0.69,1.85,75,1368,3.3,113,0.81,0.06,0.50,,,,,,,
2005,Harry Potter/Goblet,adventure,live,12,7.6,0.61,2.35,142,2064,4.1,85,0.83,0.06,0.52,,,,,,,
2005,Hitch,comedy,live,13,6.8,0.45,2.35,113,1771,3.8,122,0.91,0.06,0.33,,,,,,,
2005,*War of the Worlds,adventure,live,,6.5,0.32,1.85,109,959,6.8,112,0.83,0.05,,,,,,,,
2005,Longest Yard,comedy,live,14,6.2,0.81,2.35,97,1895,3.1,132,0.79,0.07,0.47,,,,,,,
2005,Madagascar,animation,animation,7,6.6,0.28,1.85,78,1124,4.2,106,0.83,0.07,0.46,,,,,,,
2005,Mr & Mrs Smith,action,live,15,6.4,0.40,2.35,112,1651,4.0,98,0.79,0.06,0.45,,,,,,,
2005,Star Wars III: Sith,action,live,12,7.9,1.14,2.35,134,2121,3.8,105,0.80,0.06,0.40,1.64,,,,,,
2005,Walk the Line,drama,live,15,8,0.28,2.35,131,1314,6.0,104,0.93,0.07,0.55,1.66,,,,,,
2005,Weddings Crashers,comedy,live,17,7.2,0.64,2.35,121,2200,3.3,144,0.88,0.07,0.33,1.88,,,,,,
2010,Alice in Wonderland 2010,adventure,live,10,6.5,0.67,1.85,99,2083,2.9,101,0.86,0.07,,,,,,,,
2010,Date Night,comedy,live,15,6.3,0.93,2.35,96,2032,2.8,85,0.84,0.06,,,,,,,,
2010,Despicable Me,animation,animation,6,7.7,0.56,1.85,87,1428,3.6,135,0.89,0.06,,,,,,,,
2010,Twilight: Eclipse,drama,live,13,4.9,1.23,2.35,115,2007,3.4,93,0.81,0.06,,,,,,,,
2010,Harry Potter/Hallows/1,adventure,live,12,7.7,0.78,2.35,134,1807,4.4,72,0.87,0.06,,,,,,,,
2010,Inception,action,live,14,8.8,0.67,2.35,140,2756,3.1,93,0.84,0.06,,1.15,3.73,392,,,,
2010,Social Network,drama,live,15,7.7,0.28,2.35,115,2291,3.0,93,0.94,0.06,,1.77,3.69,187,,,,
2010,Toy Story 3,animation,animation,6,8.3,0.80,1.85,89,1720,3.1,116,0.83,0.07,,,,,,,,
2010,Tron: Legacy,action,live,10,6.8,1.10,2.35,117,1903,3.7,100,0.82,0.05,,,,,,,,
2010,valentines day,comedy,live,15,5.7,0.28,1.85,118,1521,4.6,96,0.88,0.07,,1.71,3.42,111,,,,
2015,american sniper,action,live,,7.3,0.50,2.35,133,2167,3.7,105,0.86,0.06,,,,,,,,
2015,avengers: ultron,action,live,,7.5,1.05,2.35,141,3214,2.6,87,0.77,0.06,,,,,,,,
2015,cinderella 2015,drama,live,,7,0.35,2.35,105,1424,4.4,80,0.84,0.07,,,,,,,,
2015,inside out,animation,animation,,8.3,0.34,1.78,95,1448,3.9,154,0.87,0.07,,,,,,,,
2015,jurassic world,action,live,,7.1,0.53,2,124,1909,3.9,103,0.84,0.07,,,,,,,,
2015,MI5: rogue nation,action,live,,7.5,0.94,2.35,131,2916,2.7,80,0.80,0.06,,,,,,,,
2015,minions,animation,animation,,6.5,0.59,1.85,91,1158,4.7,152,0.89,0.07,,,,,,,,
2015,spectre,action,live,,6.9,0.83,2.35,148,2438,3.6,86,0.82,0.06,,,,,,,,
2015,straight outta compton,drama,live,,8,0.80,2.35,147,1882,4.7,71,0.82,0.06,,,,,,,,
2015,the martian,adventure,live,,8.1,0.49,2.35,144,2246,3.8,82,0.88,0.07,,,,,,,,
1960,Exodus,action,live,,6.8,0.42,2.2,204,554,22.1,114,0.95,0.08,,,,,,,,
1960,Spartacus,action,live,,8,0.38,2.2,179,1298,8.3,120,0.92,0.08,,2.84,3.36,106,,,,
1965,Doctor Zhivago,drama,live,,8,0.49,2.35,192,1303,8.8,111,0.90,0.07,,,,,,,,
1965,Sound of Music,drama,live,,7.8,0.69,2.35,173,1511,6.9,122,0.95,0.08,,,,,,,,
1965,The Great Race,action,live,,7,0.85,2.2,149,1271,7.0,123,0.87,0.08,,2.57,,,,,,
1970,Patton,drama,live,,8.1,0.33,2.2,167,1124,8.9,142,0.93,0.07,,,,,,,,
1975,Barry Lyndon,drama,live,,8,0.31,1.37,179,779,13.8,124,0.95,0.06,,,,,,,,
1985,Out of Africa,drama,live,13,6.9,0.48,1.85,157,1839,5.1,131,0.91,0.07,,,,,,,,
1990,Dances with wolves,adventure,live,,7.9,0.63,2.2,226,2468,5.5,127,0.86,0.06,0.40,,,,,,,
2005,King Kong,adventure,live,,7.6,0.67,2.35,177,3099,3.4,110,0.78,0.07,,,,,,,,
1985,One Magic Christmas            ,kids,live,10,,,,89,1062,4.8,77,0.92,,0.39,,,,,,,
1985,Sesame Street Presents: Follow that Bird!   ,kids,live,4,,,,89,761,6.6,132,0.97,,0.39,,,,,,,
1985,The Care Bears Movie            ,kids,animation,4,,,,77,1118,3.8,151,0.92,,0.46,,,,,,,
1986,An American Tail                  ,kids,animation,5,,,,81,839,5.2,116,0.94,,0.45,,,,,,,
1986,The Care Bears Movie II: A New Generation      ,kids,animation,6,,,,77,1142,3.8,129,0.93,,0.5,,,,,,,
1986,The Great Mouse Detective   ,kids,animation,6,,,,74,1256,3.4,118,0.90,,0.63,,,,,,,
1987,Benji the Hunted                   ,kids,live,6,,,,88,1101,4.6,108,0.94,,0.43,,,,,,,
1987,The Brave Little Toaster      ,kids,animation,5,,,,90,1154,4.5,128,0.95,,0.65,,,,,,,
1987,The Chipmunk Adventure       ,kids,animation,5,,,,76,1021,4.2,156,0.93,,0.6,,,,,,,
